date_documented,date,time,described_duration,described_ufo,full_description,city,state,latitude,longitude
11/19/2012,11/10/2012,06:30 pm,50 minutes,,"multiple orange spheres over derby, ny.",derby,ny,42.6813889,-78.9755556
9/2/2005,11/11/1979,07:30 pm,1 hour +,,"hi, i reported seeing an object back in the late 70s to another site. i was struck by the similarities in the description, and the tim",wickenburg,az,33.9686111,-112.7288889
11/2/1999,11/11/1995,01:15 am,10 min.,,"three adults hear a strange noise, see a strange ""star"" to w.  obj. does gyrations, then streaks n.  10 min. later, they see 3 more.",eugene,or,44.0522222,-123.0855556
11/2/1999,11/11/1995,07:00 pm,10 min.,,"two young women driving to party encounter a large cylindrical-shaped obj. ""w/ a lot of lights on it."" drifted slowly, streaked.",solvang,ca,34.5958333,-120.1366667
11/2/1999,11/11/1995,09:45 pm,10 sec.,,"woman on cruise boat sees large obj. w/ 8-10 strange red lights, passes overhead n to s, dips, rises vert. out of sight! no sound.",kirkland,wa,47.6816667,-122.2075
11/20/2001,11/11/2001,07:00 pm,.10 sec,,when returing from hunting elk seen a green blob falling down leaving a green trail behind then it blew up and lit up the whole valley,mogote,co,37.0594444,-106.0916667
12/23/2002,11/1/1970,08:30 pm,30 min.,,a number of cases described a reddish clay residue that had been found at abduction sites.,rochester,ny,43.1547222,-77.6158333
4/16/2005,11/1/1972,07:30 pm,30 seconds,,high pitch tones were probably an encounter with a ufo in crescent city california during the early 1970s,crescent city,ca,41.7561111,-124.2005556
8/5/2009,11/1/1973,07:00 pm,3 minutes,,"no sound, very close, translucent metal with shapless orange glow in center of craft.",huntington,ny,40.8680556,-73.4261111
11/2/1999,11/1/1995,12:15 am,2 sec.,,"exp. ufo investigator, mufon member, witnesses very bright bluish/white flash of light that lit living room.  descended rapidly.",bothell,wa,47.7625,-122.2041667
8/5/2001,1/11/1996,05:58 pm,4 sec.,,"seattle ufo investigator reports witnessing a brilliantly bright, round, yellow ""ball of light"" traveling extremely fast to the north.",woodinville,wa,47.7544444,-122.1622222
1/22/2000,1/11/2000,11:15 am,5 seconds,,"i saw 3 bright flashes,light up the sky. i looked up and saw large bright windows, and red,one white, and blue lights which appeared to",brownell,ks,38.6402778,-99.7458333
11/8/2003,11/1/2003,09:15 am,10 minutes,,very strange whirring noises - about 3 minutes apart,grand junction,co,39.0638889,-108.55
1/31/2011,1/11/2011,12:00 am,3-5 seconds,,sky lit up green.,waxhaw,nc,34.9244444,-80.7436111
2/4/2013,1/11/2013,06:30 pm,30 minutes,,stationary single object seeming to be changing colors and shapes in the night sky.  ((nuforc note:  possible sighting of sirius?  pd)),plantation,fl,26.1272222,-80.2333333
1/11/2002,11/12/1991,11:00 pm,2mins,,"just got in bed saw a bright light that complety lit up entire 50 acre lake also heard loud whistle,by the time my wife and i could get",brooksville,fl,28.555,-82.3880556
11/2/1999,11/12/1995,09:00 pm,45 min.,,"woman repts. two stationary, ""colorful,"" lights to w &amp  nw of her position.  (description not inconsistent w/ twinkling stars.)",las vegas,nv,36.175,-115.1363889
12/12/2009,11/12/2009,08:44 pm,12-21 minutes,,flicker lights seen in the night sky south of big sandy.,big sandy,mt,48.1786111,-110.1113889
11/2/1999,11/13/1995,12:15 am,2 sec.,,"man standing outside sees what looks like ""shooting star."" obj. split into 3 lights, ""like isosceles triangle,"" shot across sky to se",birmingham,al,33.5205556,-86.8025
11/2/1999,11/13/1995,07:50 pm,12 min.,,woman repts. three peculiar green beams of light overhead.  (mufon investigator reptd. was probably laser-based adv. light.),lake oswego,or,45.4208333,-122.6694444
8/5/2001,11/13/1998,01:30 am,5 minutes,,i have seen aliens in my home!,maybrook,ny,41.4838889,-74.2180556
12/16/2005,11/13/2005,10:00 pm,10 secs,,extremely loud reverberating explosion. homes and windows shook with moise. flash of bright light in concentrated area of town.  smoke,belleville,nj,40.7936111,-74.1505556
11/19/2012,11/13/2012,05:30 pm,2 hours,,"i saw 6-8 different orange lights  in the sky over longmont and boulder area, hold there position for extended period, then move slowly",longmont,co,40.1672222,-105.1013889
11/2/1999,11/14/1995,06:30 pm,30 min.,,"woman and daughter witness w/ binoculars 2 strange lights in sky.  flashing white, red, green.  (not inconsistent w/ twinkling star.)",american canyon,ca,38.175,-122.2597222
11/2/1999,11/14/1995,06:45 pm,2 min.,,"mother notices ""aircraft"" over midway river, suddenly ""engine noise"" seem to slow.  she &amp  kids see 2 ""mushroom shaped"" craft.",midway,ga,31.8055556,-81.4308333
11/2/1999,11/14/1996,06:20 pm,3 min.,,"4 individuals witness distinctly red light above clouds.  changes to white, back to red, then disappears.  video footage taken.",salem,or,44.9430556,-123.0338889
3/19/2002,11/14/2000,12:00 am,three minutes,,i saw a mothership letting off flying sausers,henderson,tx,32.1530556,-94.7991667
1/10/2009,11/14/2008,05:30 am,8 minutes,,a thwarted abduction attempt.,paducah,ky,37.0833333,-88.6
2/23/2011,11/15/1965,09:00 pm,5 minutes,,the moon took up the entire skyline!,colmar manor,md,38.9330556,-76.9461111
2/14/2006,11/15/1974,12:00 am,0:08,,better left alone..,west orange,nj,40.7705556,-74.2330556
11/2/1999,11/15/1996,08:30 pm,30 sec.,,"sen.mil.(ret.) sees large, rnd, bright ""ball of orange light"" ahead,in formation w/ comm. a/c pass overhead! not meteor.exclnt rept.!",blossburg,pa,41.6794444,-77.0641667
11/20/2001,11/15/2001,08:00 pm,minutes,,at approximatly 8:00 pm my husband and i sat down to watch tv and i heard a loud rumbling sound outside. i looked out the window and di,boyne city,mi,45.2166667,-85.0138889
12/12/2009,11/15/2009,07:15 pm,3 minutes,,"glowing red orb shaped light seen in myrtle beach,sc",myrtle beach,sc,33.6888889,-78.8869444
3/19/2002,11/16/1995,09:40 pm,40 sec.,,"woman outside smoking sees bizarre craft ""w/ red lights"" pass silently overhead.  when she peered around house, was gone.",elk grove,ca,38.4088889,-121.3705556
11/2/1999,11/16/1996,10:00 pm,30 min.,,"woman &amp  daughter see v-shaped obj. w/ red/blue/green lights streak across sky, stop dead, hover.  many neighbors witness object.",riverside,nj,40.0322222,-74.9577778
